BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2013;22;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2014;26;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2015;19;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2016;20;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2017;29;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2018;25;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2019;12;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2020;23;Anz.;Anzahl;
10;Obfelden;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2021;27;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2007;11;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2008;12;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2009;13;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2010;12;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2011;13;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2012;12;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2013;14;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2014;6;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2015;17;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2016;6;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2017;11;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2018;15;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2019;7;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2020;22;Anz.;Anzahl;
11;Ottenbach;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2021;17;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2007;1;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2008;1;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2009;5;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2010;3;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2011;6;Anz.;Anzahl;
12;Rifferswil;Bau und Immobilien;Immobilienhandel;Immobilienverkäufe;188;Verkäufe EFH [Anz.];2012;9;Anz.;Anzahl;
