FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1d,00802,Dempschergasse,1,18,1894-01-01,10000773,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1e,03097,Marsanogasse,1,18,1895-06-26,10003026,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1f,12048,Gillingerweg,1,18,1996-01-18,10008167,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c20,04565,Sommarugagasse,1,18,1894-06-30,10004466,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c21,02643,Kreilplatz,1,19,1905-09-28,10002577,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c22,02502,Kleingasse,1,3,1862-06-30,10002440,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c23,09186,Nemethgasse,1,11,1974-05-06,10006609,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c24,06023,Lamezanstraße,1,23,1982-10-07,10005859,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c25,01023,Eisenberggasse,1,23,1960-09-28,10000986,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c26,09269,Hänischgasse,1,22,1975-09-01,10006671,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c27,05242,Weizenweg,1,22,1954-01-13,10005135,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c28,06259,Hanfgasse,1,22,1993-09-16,10006082,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c29,04191,Schafgarbenweg,1,22,1973-01-05,10004104,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2a,01522,Gmarchhaufenstraße,1,22,1959-02-04,10001477,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2b,00778,Danningerweg,1,21,1932-12-05,10000750,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2c,02096,Hufgasse,1,21,1971-09-07,10002041,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2d,00680,Carminweg,1,21,1997-11-04,10000655,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2e,01543,Goldhammergasse,1,23,1973-01-05,10001498,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c2f,09420,Martin-Gaunersdorfer-Gasse,1,21,1994-05-05,10006775,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c30,04595,Spanngasse,1,21,1956-10-17,10004496,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c31,12462,Okopenkoweg,1,21,2012-02-28,10008537,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c32,09565,Draugasse,1,21,1996-10-24,10006904,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c33,03244,Mölker Steig,1,1,1755-01-01,10003172,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c34,00120,Am Freihof,1,22,1909-01-01,10000116,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c35,01020,Eipeldauer Straße,2,21|22,1909-01-01,10000983,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c36,02228,Johann-Nepomuk-Berger-Platz,2,16|17,1894-01-01,10002170,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c37,01855,Haymerlegasse,1,16,1894-01-01,10001804,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c38,02645,Kreitnergasse,1,16,1894-08-08,10002579,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c39,05471,Zöchbauerstraße,1,16,1900-06-30,10005361,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3a,03476,Obstgartenweg,1,22,1959-02-04,10003400,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3b,05860,Hirschstettner Platz,1,22,2011-11-07,10005712,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3c,01555,Gotenweg,1,22,1966-10-19,10001510,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3d,05681,An der Bien,1,22,1988-10-13,10005550,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3e,06200,Abfahrt von Wehr1,1,22,1989-11-07,10006027,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c3f,04318,Schoellerhofgasse,1,2,1909-03-16,10004223,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c40,01763,Halmgasse,1,2,1876-01-01,10001713,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c41,09633,Rudolf-Raschke-Gasse,1,21,1992-06-11,10006971,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c42,00244,Arenberggasse,1,3,1862-01-01,10000233,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c43,00781,Dapontegasse,1,3,1906-06-20,10000753,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c44,04023,Rosengasse,1,1,1755-01-01,10003939,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c45,04431,Schwertgasse,1,1,1797-06-30,10004334,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c46,04661,Starkegasse,1,10,1942-03-14,10004562,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c47,12608,Käthe-Odwody-Gasse,1,10,2004-12-03,10008680,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c48,00371,Battiggasse,1,10,1973-01-05,10000360,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c49,10375,Steg Absberggasse,1,10,1983-01-26,10007655,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4a,09341,Castlegasse,1,21,1972-02-01,10006723,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4b,09507,Hayekgasse,1,21,1994-09-22,10006856,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4c,06324,Owengasse,1,21,1994-09-22,10006147,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4d,03182,Meriangasse,1,21,1952-11-19,10003110,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4e,01340,Frömmlgasse,1,21,1973-01-05,10001297,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c4f,01730,Hagenberggasse,1,13,1907-07-03,10001681,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c50,04281,Schließmanngasse,1,13,1923-01-11,10004186,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c51,00150,Am Platz,1,13,1894-01-01,10000140,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c52,01525,Gobergasse,1,13,1895-06-26,10001480,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c53,03757,Prehausergasse,1,13,1912-02-27,10003677,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c54,09026,Gusindegasse,1,13,1975-09-01,10006479,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c55,05185,Wattmanngasse,1,13,1913-06-05,10005080,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c56,02923,Linzer Straße,2,14|15,1894-06-30,10002855,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c57,05575,Zimbagasse,1,14,1969-02-04,10005459,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c58,00295,Auf der Schottenwiese,1,16,1923-07-31,10000284,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c59,01337,Fröbelgasse,1,16,1883-01-01,10001294,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5a,04726,Stillfriedplatz,1,16,1883-06-30,10004627,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5b,00615,Brunnengasse,1,16,1873-01-01,10000593,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5c,01182,Feßtgasse,1,16,1856-01-01,10001142,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5d,00348,Baldiagasse,1,16,1893-08-24,10000337,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5e,05397,Wundtgasse,2,12|23,1922-05-24,10005287,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c5f,04969,Tscherttegasse,1,12,1992-06-11,10004868,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c60,02445,Khleslplatz,1,12,1894-06-30,10002386,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c61,06586,Otto-Bondy-Platz,1,12,2006-03-14,10450065,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c62,00962,Eckartsaugasse,1,12,1909-07-20,10000925,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c63,04879,Theresienbadgasse,1,12,1894-06-30,10004778,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c64,05439,Zenogasse,1,12,1908-03-13,10005329,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c65,12317,Duchweg,1,12,1992-11-05,10008398,1113,Gemeindestraße
